translation	vocab	tag
||steam||vapor	汽	hsk
||to run||to run away||to escape||to run around (on errands etc)||(of a gas or liquid) to leak or evaporate||(verb complement) away||off	跑	hsk
||(of sth) to move||to set in movement||to displace||to touch||to make use of||to stir (emotions)||to alter||abbr. for 動詞|动词[dong4 ci2], verb	动	hsk
||non-syllabic diminutive suffix||retroflex final|||<b>ér</b>||child||son	儿	hsk
||far||distant||remote||(intensifier in a comparison) by far||much (lower etc)	远	hsk
||to help||to assist||to support||for sb (i.e. as a help)||hired (as worker)||side (of pail, boat etc)||outer layer||upper (of a shoe)||group||gang||clique||party||secret society	帮	hsk
||to look at||to regard||to inspect	视	hsk
||teacher||master||expert||model||army division||(old) troops||to dispatch troops	师	hsk
||hundred||numerous||all kinds of	百	hsk
||half||semi-||incomplete||(after a number) and a half	半	hsk
||body||form||style||system||substance||to experience||aspect (linguistics)	体	hsk
||to drink||variant of 嗬[he1]|||<b>hè</b>||to shout	喝	hsk
||net||network	网	hsk
||letter||symbol||character||word||CL:個|个[ge4]||courtesy or style name traditionally given to males aged 20 in dynastic China	字	hsk
||cup||trophy cup||classifier for certain containers of liquids: glass, cup	杯	hsk
||to fly	飞	hsk
"||how||which|||<b>na</b>||(emphatic sentence-final particle, used instead of 啊[a5] after a word ending in ""n"")"	哪	hsk
||to cover||to wrap||to hold||to include||to take charge of||to contract (to or for)||package||wrapper||container||bag||to hold or embrace||bundle||packet||CL:個|个[ge4],隻|只[zhi1]	包	hsk
||brain||mind||head||essence	脑	hsk
||song||CL:支[zhi1],首[shou3]||to sing	歌	hsk
||mountain||hill||anything that resembles a mountain||CL:座[zuo4]||bundled straw in which silkworms spin cocoons||gable	山	hsk
||to warm up||to heat up||hot (of weather)||heat||fervent	热	hsk
||to sing||to call loudly||to chant	唱	hsk
||name||noun (part of speech)||place (e.g. among winners)||famous||classifier for people	名	hsk
||white||snowy||pure||bright||empty||blank||plain||clear||to make clear||in vain||gratuitous||free of charge||reactionary||anti-communist||funeral||to stare coldly||to write wrong character||to state||to explain||vernacular||spoken lines in opera	白	hsk
||illness||CL:場|场[chang2]||disease||to fall ill||defect	病	hsk
||ticket||ballot||banknote||CL:張|张[zhang1]||person held for ransom||amateur performance of Chinese opera||classifier for groups, batches, business transactions	票	hsk
||to sleep||to lie down	睡	hsk
||house||room||CL:間|间[jian1]||branch of an extended family||classifier for family members (or concubines)	房	hsk
||bright||opposite: dark 暗[an4]||(of meaning) clear||to understand||next||public or open||wise||generic term for a sacrifice to the gods|||<b>Míng</b>||Ming Dynasty (1368-1644)||surname Ming||Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God	明	hsk
||to differ from||to fall short of||lacking||wrong||inferior||Taiwan pr. [cha1]|||<b>chā</b>||difference||discrepancy||to differ||error||to err||to make a mistake|||<b>chāi</b>||to send||to commission||messenger||mission	差	hsk
||wind||news||style||custom||manner||CL:陣|阵[zhen4],絲|丝[si1]	风	hsk
||horse||CL:匹[pi3]||horse or cavalry piece in Chinese chess||knight in Western chess	马	hsk
||mistake||wrong||bad||interlocking||complex||to grind||to polish||to alternate||to stagger||to miss||to let slip||to evade||to inlay with gold or silver	错	hsk
||to read||to study||reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]	读	hsk
||reply||answer||return||respond||echo|||<b>dā</b>||to answer||to agree	答	hsk
||feeling or desire to do sth||interest in sth||excitement|||<b>xīng</b>||to rise||to flourish||to become popular||to start||to encourage||to get up||(often used in the negative) to permit or allow (dialect)||maybe (dialect)	兴	hsk
||to test||to try||experiment||examination||test	试	hsk
||father||dad||pa||papa	爸	hsk
||to teach|||<b>jiào</b>||religion||teaching||to make||to cause||to tell	教	hsk
||side||edge||margin||border||boundary||CL:個|个[ge4]||simultaneously|||<b>bian</b>||suffix of a noun of locality	边	hsk
||to thank||to apologize||to wither (of flowers, leaves etc)||to decline	谢	hsk
||to record||to note||to memorize||to remember||mark||sign||classifier for blows, kicks, shots	记	hsk
||team||class||squad||work shift||ranking||CL:個|个[ge4]||classifier for groups	班	hsk
||busy||hurriedly||to hurry||to rush	忙	hsk
||to beat||to hit||variant of 考[kao3]||to inspect||to test||to take an exam|||<b>kǎo</b>||to check||to verify||to test||to examine||to take an exam||to take an entrance exam for||deceased father	考	hsk
||south	南	hsk
||mountain pass||to close||to shut||to turn off||to concern||to involve	关	hsk
||(used in given names)||variant of 同[tong2]|||<b>tóng</b>||like||same||similar||together||alike||with	同	hsk
||clothes||CL:件[jian4]||Kangxi radical 145	衣	hsk
||clothes||dress||garment||to serve (in the military, a prison sentence etc)||to obey||to be convinced (by an argument)||to convince||to admire||to acclimatize||to take (medicine)||mourning clothes||to wear mourning clothes	服	hsk
||north||(classical) to be defeated	北	hsk
||dish (type of food)||vegetable||cuisine||CL:盤|盘[pan2],道[dao4]||(coll.) (one's) type||(of one's skills etc) weak||poor	菜	hsk
||bed||couch||classifier for beds||CL:張|张[zhang1]	床	hsk
||to rest||to stop doing sth for a period of time||to cease||(imperative) don't	休	hsk
||breath||news||interest (on an investment or loan)||to cease||to stop||to rest||Taiwan pr. [xi2]	息	hsk
||cold	冷	hsk
||meat||flesh||pulp (of a fruit)||(coll.) (of a fruit) squashy||(of a person) flabby||irresolute||Kangxi radical 130	肉	hsk
||zero||nought||zero sign||fractional||fragmentary||odd (of numbers)||(placed between two numbers to indicate a smaller quantity followed by a larger one)||fraction||(in mathematics) remainder (after division)||extra||to wither and fall||to wither	零	hsk
||bad||spoiled||broken||to break down||(suffix) to the utmost	坏	hsk
||tree||CL:棵[ke1]||to cultivate||to set up	树	hsk
||cooked rice||CL:碗[wan3]||meal||CL:頓|顿[dun4]||(loanword) fan||devotee	饭	hsk
||to forget||to overlook||to neglect	忘	hsk
||gas||air||smell||weather||to make angry||to annoy||to get angry||vital energy||qi	气	hsk
||right (-hand)||the Right (politics)||west (old)	右	hsk
||subject||course||CL:門|门[men2]||class||lesson||CL:堂[tang2],節|节[jie2]||to levy||tax||form of divination	课	hsk
||to wash||to bathe||to develop (photo)	洗	hsk
||left||the Left (politics)||east||unorthodox||queer||wrong||differing||opposite||variant of 佐[zuo3]	左	hsk
||tired||weary||to strain||to wear out||to work hard|||<b>lěi</b>||to accumulate||to involve or implicate (Taiwan pr. [lei4])||continuous||repeated	累	hsk
||hair||feather||down||wool||mildew||mold||coarse or semifinished||young||raw||careless||unthinking||nervous||scared||(of currency) to devalue or depreciate||classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])	毛	hsk
||older sister	姐	hsk
||rain||CL:陣|阵[zhen4],場|场[chang2]	雨	hsk
||one side||other||different||lateral component of a Chinese character (such as 刂[dao1], 亻[ren2] etc)	旁	hsk
||abbr. for Beijing||surname Jing||Jing ethnic minority|||<b>jīng</b>||capital city of a country||big||algebraic term for a large number (old)||artificial mound (old)	京	hsk
||page||leaf	页	hsk
||expensive||noble||precious||(honorific) your	贵	hsk
